/HERNAD TELJES/100836.4/FLOW/01DEC2214/1HOUR/HERNAD_LEVEE_TOLTESRE/
RTS  Ver:  1   Prog:DssVue  LW:10MAY18  11:16:16   Tag:Tag        Prec:-1
Start: 31DEC2214 at 2301 hours;   End: 31JAN2215 at 2400 hours;  Number: 745
Units: M3/S    Type: INST-VAL
31DEC2214, 2400;   40,000
01JAN2215, 0100;   42,065
01JAN2215, 0200;   40,915
01JAN2215, 0300;   40,490
01JAN2215, 0400;   40,228
01JAN2215, 0500;   40,014
01JAN2215, 0600;   39,865
01JAN2215, 0700;   39,756
01JAN2215, 0800;   39,660
01JAN2215, 0900;   39,560
01JAN2215, 1000;   39,414
01JAN2215, 1100;   39,210
01JAN2215, 1200;   38,970
01JAN2215, 1300;   38,714
01JAN2215, 1400;   38,455
01JAN2215, 1500;   38,187
01JAN2215, 1600;   37,874
01JAN2215, 1700;   37,509
01JAN2215, 1800;   37,109
01JAN2215, 1900;   36,694
01JAN2215, 2000;   36,273
01JAN2215, 2100;   35,845
01JAN2215, 2200;   35,381
01JAN2215, 2300;   34,871
01JAN2215, 2400;   34,335
02JAN2215, 0100;   33,785
02JAN2215, 0200;   33,242
02JAN2215, 0300;   32,712
02JAN2215, 0400;   32,298
02JAN2215, 0500;   32,052
02JAN2215, 0600;   31,914
02JAN2215, 0700;   31,823
02JAN2215, 0800;   31,746
02JAN2215, 0900;   31,689
02JAN2215, 1000;   31,721
02JAN2215, 1100;   31,875
02JAN2215, 1200;   32,108
02JAN2215, 1300;   32,374
02JAN2215, 1400;   32,651
02JAN2215, 1500;   32,985
02JAN2215, 1600;   33,644
02JAN2215, 1700;   34,732
02JAN2215, 1800;   36,080
02JAN2215, 1900;   37,536
02JAN2215, 2000;   39,028
02JAN2215, 2100;   40,601
02JAN2215, 2200;   42,418
02JAN2215, 2300;   44,519
02JAN2215, 2400;   46,752
03JAN2215, 0100;   49,032
03JAN2215, 0200;   51,283
03JAN2215, 0300;   53,417
03JAN2215, 0400;   54,358
03JAN2215, 0500;   54,513
03JAN2215, 0600;   54,306
03JAN2215, 0700;   53,974
03JAN2215, 0800;   53,608
03JAN2215, 0900;   53,204
03JAN2215, 1000;   52,720
03JAN2215, 1100;   52,170
03JAN2215, 1200;   51,588
03JAN2215, 1300;   51,077
03JAN2215, 1400;   50,492
03JAN2215, 1500;   49,910
03JAN2215, 1600;   49,363
03JAN2215, 1700;   48,853
03JAN2215, 1800;   48,368
03JAN2215, 1900;   47,889
03JAN2215, 2000;   47,410
03JAN2215, 2100;   46,922
03JAN2215, 2200;   46,432
03JAN2215, 2300;   45,916
03JAN2215, 2400;   45,374
04JAN2215, 0100;   44,831
04JAN2215, 0200;   44,295
04JAN2215, 0300;   43,766
04JAN2215, 0400;   43,267
04JAN2215, 0500;   42,795
04JAN2215, 0600;   42,332
04JAN2215, 0700;   41,875
04JAN2215, 0800;   41,417
04JAN2215, 0900;   40,962
04JAN2215, 1000;   40,515
04JAN2215, 1100;   40,061
04JAN2215, 1200;   39,612
04JAN2215, 1300;   39,156
04JAN2215, 1400;   38,701
04JAN2215, 1500;   38,257
04JAN2215, 1600;   37,848
04JAN2215, 1700;   37,493
04JAN2215, 1800;   37,165
04JAN2215, 1900;   36,850
04JAN2215, 2000;   36,538
04JAN2215, 2100;   36,228
04JAN2215, 2200;   35,918
04JAN2215, 2300;   35,609
04JAN2215, 2400;   35,299
05JAN2215, 0100;   34,990
05JAN2215, 0200;   34,681
05JAN2215, 0300;   34,497
05JAN2215, 0400;   34,983
05JAN2215, 0500;   36,358
05JAN2215, 0600;   38,303
05JAN2215, 0700;   40,481
05JAN2215, 0800;   42,806
05JAN2215, 0900;   45,161
05JAN2215, 1000;   47,514
05JAN2215, 1100;   49,823
05JAN2215, 1200;   52,319
05JAN2215, 1300;   54,638
05JAN2215, 1400;   56,853
05JAN2215, 1500;   58,620
05JAN2215, 1600;   59,375
05JAN2215, 1700;   59,287
05JAN2215, 1800;   58,787
05JAN2215, 1900;   58,130
05JAN2215, 2000;   57,432
05JAN2215, 2100;   56,719
05JAN2215, 2200;   55,997
05JAN2215, 2300;   55,282
05JAN2215, 2400;   54,566
06JAN2215, 0100;   53,849
06JAN2215, 0200;   53,141
06JAN2215, 0300;   52,496
06JAN2215, 0400;   52,041
06JAN2215, 0500;   51,755
06JAN2215, 0600;   51,547
06JAN2215, 0700;   51,387
06JAN2215, 0800;   51,217
06JAN2215, 0900;   51,045
06JAN2215, 1000;   50,873
06JAN2215, 1100;   50,700
06JAN2215, 1200;   50,527
06JAN2215, 1300;   50,354
06JAN2215, 1400;   50,181
06JAN2215, 1500;   50,009
06JAN2215, 1600;   49,840
06JAN2215, 1700;   49,674
06JAN2215, 1800;   49,510
06JAN2215, 1900;   49,346
06JAN2215, 2000;   49,182
06JAN2215, 2100;   49,019
06JAN2215, 2200;   48,855
06JAN2215, 2300;   48,692
06JAN2215, 2400;   48,529
07JAN2215, 0100;   48,366
07JAN2215, 0200;   48,203
07JAN2215, 0300;   48,040
07JAN2215, 0400;   47,880
07JAN2215, 0500;   47,723
07JAN2215, 0600;   47,567
07JAN2215, 0700;   47,412
07JAN2215, 0800;   47,255
07JAN2215, 0900;   47,100
07JAN2215, 1000;   46,945
07JAN2215, 1100;   46,790
07JAN2215, 1200;   46,639
07JAN2215, 1300;   46,490
07JAN2215, 1400;   46,337
07JAN2215, 1500;   46,182
07JAN2215, 1600;   46,030
07JAN2215, 1700;   45,880
07JAN2215, 1800;   45,731
07JAN2215, 1900;   45,582
07JAN2215, 2000;   45,434
07JAN2215, 2100;   45,285
07JAN2215, 2200;   45,137
07JAN2215, 2300;   44,988
07JAN2215, 2400;   44,840
08JAN2215, 0100;   44,692
08JAN2215, 0200;   44,546
08JAN2215, 0300;   44,369
08JAN2215, 0400;   44,079
08JAN2215, 0500;   43,664
08JAN2215, 0600;   43,187
08JAN2215, 0700;   42,679
08JAN2215, 0800;   42,155
08JAN2215, 0900;   41,626
08JAN2215, 1000;   41,098
08JAN2215, 1100;   40,579
08JAN2215, 1200;   40,051
08JAN2215, 1300;   39,529
08JAN2215, 1400;   39,000
08JAN2215, 1500;   38,477
08JAN2215, 1600;   37,980
08JAN2215, 1700;   37,523
08JAN2215, 1800;   37,081
08JAN2215, 1900;   36,648
08JAN2215, 2000;   36,217
08JAN2215, 2100;   35,788
08JAN2215, 2200;   35,359
08JAN2215, 2300;   34,931
08JAN2215, 2400;   34,504
09JAN2215, 0100;   34,079
09JAN2215, 0200;   33,654
09JAN2215, 0300;   33,239
09JAN2215, 0400;   32,840
09JAN2215, 0500;   32,464
